// Detail texture map file for labda_bunker level
// Napoleon's detial textures pack v1.0
// [texture name]	[detail texture name]		[hscale]	[vscale]

-0babfl     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech7     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech7b     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech8     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech8b     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech_c5     detail/arctic_incident/ai_detail    3.0    3.0
-0babtech_flr10     detail/arctic_incident/ai_detail    3.0    3.0
-0baseblue     detail/arctic_incident/ai_detail    3.0    3.0
-0c1a4_fuel     detail/arctic_incident/ai_detail    3.0    3.0
-0c1a4_oxy     detail/arctic_incident/ai_detail    3.0    3.0
-0c1a4_pow     detail/arctic_incident/ai_detail    3.0    3.0
-0c1a4_w5     detail/arctic_incident/ai_detail    3.0    3.0
-0c1a4_w6     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_cor2     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_flr6     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_flr6b     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_pan1     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_pan2     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_vat1     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_w1     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4_w2     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4c1     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4d_panel     detail/arctic_incident/ai_detail    3.0    3.0
-0c2a4e_w1     detail/arctic_incident/ai_detail    3.0    3.0
-0ca1x_c1     detail/arctic_incident/ai_detail    3.0    3.0
-0crete2_flr04     detail/arctic_incident/ai_detail    3.0    3.0
-0crete2_flr5     detail/arctic_incident/ai_detail    3.0    3.0
-0crete4_flr01     detail/arctic_incident/ai_detail    3.0    3.0
-0crete4_flr1     detail/arctic_incident/ai_detail    3.0    3.0
-0crete4_wall01     detail/arctic_incident/ai_detail    3.0    3.0
-0crete4w3     detail/arctic_incident/ai_detail    3.0    3.0
-0crete6     detail/arctic_incident/ai_detail    3.0    3.0
-0fift_wall13     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_c     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_case     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_case2     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_f01     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_f02     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_f03     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_f03b     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_w06     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_w12     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_w12b     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_w13     detail/arctic_incident/ai_detail    3.0    3.0
-0fifties_w13b     detail/arctic_incident/ai_detail    3.0    3.0
-0freezer_pan1     detail/arctic_incident/ai_detail    3.0    3.0
-0freezer_pan2     detail/arctic_incident/ai_detail    3.0    3.0
-0freezerc4     detail/arctic_incident/ai_detail    3.0    3.0
-0genpipe1     detail/arctic_incident/ai_detail    3.0    3.0
-0glassbrick     detail/arctic_incident/ai_detail    3.0    3.0
-0hfloor01     detail/arctic_incident/ai_detail    3.0    3.0
-0lab1_flr7     detail/arctic_incident/ai_detail    3.0    3.0
-0lab1_w4gad     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_c4     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_flr1     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_flr1b     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_flr4     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_w6     detail/arctic_incident/ai_detail    3.0    3.0
-0lab3_w6b     detail/arctic_incident/ai_detail    3.0    3.0
-0lab5_c1     detail/arctic_incident/ai_detail    3.0    3.0
-0out_c3     detail/arctic_incident/ai_detail    3.0    3.0
-0out_c3b     detail/arctic_incident/ai_detail    3.0    3.0
-0out_crt2a     detail/arctic_incident/ai_detail    3.0    3.0
-0out_crt2b     detail/arctic_incident/ai_detail    3.0    3.0
-0out_cuby     detail/arctic_incident/ai_detail    3.0    3.0
-0out_dirt2     detail/arctic_incident/ai_detail    3.0    3.0
-0out_grnd2b     detail/arctic_incident/ai_detail    3.0    3.0
-0out_grnd3     detail/arctic_incident/ai_detail    3.0    3.0
-0out_grss1     detail/arctic_incident/ai_detail    3.0    3.0
-0out_grvl1     detail/arctic_incident/ai_detail    3.0    3.0
-0out_rk3     detail/arctic_incident/ai_detail    3.0    3.0
-0out_rk4     detail/arctic_incident/ai_detail    3.0    3.0
-0out_rk5     detail/arctic_incident/ai_detail    3.0    3.0
-0out_rkpath     detail/arctic_incident/ai_detail    3.0    3.0
-0out_w3     detail/arctic_incident/ai_detail    3.0    3.0
-0out_w4     detail/arctic_incident/ai_detail    3.0    3.0
-0out_w5     detail/arctic_incident/ai_detail    3.0    3.0
-0out_w5b     detail/arctic_incident/ai_detail    3.0    3.0
-0out_wall3     detail/arctic_incident/ai_detail    3.0    3.0
-0out_wall8     detail/arctic_incident/ai_detail    3.0    3.0
-0out_wall9     detail/arctic_incident/ai_detail    3.0    3.0
-0out_wter     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_c1     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_cor2     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_flr11     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_p1     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_p2     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_p2b     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_p3     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_p4     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_pan2     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_w3     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_wall1     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_wall2     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_wall2b     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_wall3     detail/arctic_incident/ai_detail    3.0    3.0
-0silo2_wall4     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_1wa     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_2wa     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_3wa     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_4wa     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_5wa     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_flr1     detail/arctic_incident/ai_detail    3.0    3.0
-0tech_sup3     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_c1b2     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_crt1     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_flr1     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_flr1b     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_flr7     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_rck1     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_w4     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_w12a     detail/arctic_incident/ai_detail    3.0    3.0
-0tnnl_w13a     detail/arctic_incident/ai_detail    3.0    3.0
-0xeno_2w1     detail/arctic_incident/ai_detail    3.0    3.0
-0xeno_2w2     detail/arctic_incident/ai_detail    3.0    3.0
-0xeno_2wa     detail/arctic_incident/ai_detail    3.0    3.0
-0xeno_4wa     detail/arctic_incident/ai_detail    3.0    3.0
-0xeno_8flr1     detail/arctic_incident/ai_detail    3.0    3.0
-1babfl     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech7     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech7b     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech8     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech8b     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech_c5     detail/arctic_incident/ai_detail    3.0    3.0
-1babtech_flr10     detail/arctic_incident/ai_detail    3.0    3.0
-1baseblue     detail/arctic_incident/ai_detail    3.0    3.0
-1c1a4_fuel     detail/arctic_incident/ai_detail    3.0    3.0
-1c1a4_oxy     detail/arctic_incident/ai_detail    3.0    3.0
-1c1a4_pow     detail/arctic_incident/ai_detail    3.0    3.0
-1c1a4_w5     detail/arctic_incident/ai_detail    3.0    3.0
-1c1a4_w6     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_cor2     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_flr6     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_flr6b     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_pan1     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_pan2     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_vat1     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_w1     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4_w2     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4c1     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4d_panel     detail/arctic_incident/ai_detail    3.0    3.0
-1c2a4e_w1     detail/arctic_incident/ai_detail    3.0    3.0
-1ca1x_c1     detail/arctic_incident/ai_detail    3.0    3.0
-1crete2_flr04     detail/arctic_incident/ai_detail    3.0    3.0
-1crete2_flr5     detail/arctic_incident/ai_detail    3.0    3.0
-1crete4_flr01     detail/arctic_incident/ai_detail    3.0    3.0
-1crete4_flr1     detail/arctic_incident/ai_detail    3.0    3.0
-1crete4_wall01     detail/arctic_incident/ai_detail    3.0    3.0
-1crete4w3     detail/arctic_incident/ai_detail    3.0    3.0
-1crete6     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_c     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_case     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_case2     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_f01     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_f02     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_f03     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_f03b     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_w06     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_w12     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_w12b     detail/arctic_incident/ai_detail    3.0    3.0
-1fifties_w13     detail/arctic_incident/ai_detail    3.0    3.0
